+====================+===================+====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                |
+====================+===================+====================================================+
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[0]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[26]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[23]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[17]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[18]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[1]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[10]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[15]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[25]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[7]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[27]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[8]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[5]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[2]/D  |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[29]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[21]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[16]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[24]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[19]/D |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_instruction_reg[31]/D |
